voter,txn_count,Wallet_Age,Wallet_Age(Erc20),to_count,from_count,erc_to,erc_from,first_date,last_date,first_from,first_to,last_from,last_to
0xb429d71F676f6e804010D8B699EefbF1ed050420,100,335,304,0,100,0,99,1663665672,1684554990,0xb429d71f676f6e804010d8b699eefbf1ed050420,0x86ca30bef97fb651b8d866d45503684b90cb3312,0xb429d71f676f6e804010d8b699eefbf1ed050420,0xb0d502e938ed5f4df2e681fe6e419ff29631d62b
0x88e042ab5F7d9761a2706F073aA4b23e1C4a1DBf,100,421,274,0,100,0,100,1656214756,1672746735,0x88e042ab5f7d9761a2706f073aa4b23e1c4a1dbf,0x86ca30bef97fb651b8d866d45503684b90cb3312,0x88e042ab5f7d9761a2706f073aa4b23e1c4a1dbf,0xbb2e4b6e10fe9ccebfdca805cdcf9fa9fb65248f
0x4Ec2acb97760522a74382323F9cE6A1DEe4347E3,100,274,256,0,100,0,92,1668974545,1674125537,0x1681b85c13ee6b46bbcd7f95c68c74f4ddf54b49,0x4ec2acb97760522a74382323f9ce6a1dee4347e3,0x4ec2acb97760522a74382323f9ce6a1dee4347e3,0x45269f59aa76bb491d0fc4c26f468d8e1ee26b73
0x7e5EeF0206F687D97d1B3300FB37B666439c548c,15,89,36,0,15,0,4,1684935135,1692343937,0xf89d7b9c864f589bbf53a82105107622b35eaa40,0x7e5eef0206f687d97d1b3300fb37b666439c548c,0x7e5eef0206f687d97d1b3300fb37b666439c548c,0x15fa08599eb017f89c1712d0fe76138899fdb9db
0xB37306a4f6638eC8759db7dD1716294Ed6b51fa9,44,147,128,0,44,0,12,1679929010,1692421789,0xb37306a4f6638ec8759db7dd1716294ed6b51fa9,0xb49c4e680174e331cb0a7ff3ab58afc9738d5f8b,0xb37306a4f6638ec8759db7dd1716294ed6b51fa9,0x15fa08599eb017f89c1712d0fe76138899fdb9db
0xe80Eef2c5d8514E640a045b74a27ACA654Ad6BB9,66,104,75,0,66,0,49,1683653819,1692502467,0xacd03d601e5bb1b275bb94076ff46ed9d753435a,0xe80eef2c5d8514e640a045b74a27aca654ad6bb9,0xe80eef2c5d8514e640a045b74a27aca654ad6bb9,0xee73323912a4e3772b74ed0ca1595a152b0ef282
0x39FAbbb43c20532addce22dA4847cF32b51c8EA0,100,283,282,0,100,0,100,1668186727,1668289443,0xebb8ea128bbdff9a1780a4902a9380022371d466,0x39fabbb43c20532addce22da4847cf32b51c8ea0,0x39fabbb43c20532addce22da4847cf32b51c8ea0,0x2e42f214467f647fe687fd9a2bf3baddfa737465
0x9da51B40FcfAD9362838465b4433BdD78E550C8A,16,98,0,0,16,0,0,1684130404,1692341705,0x1918e8c2159383d0d6cc869cf502987a141331f6,0x9da51b40fcfad9362838465b4433bdd78e550c8a,0x9da51b40fcfad9362838465b4433bdd78e550c8a,0x15fa08599eb017f89c1712d0fe76138899fdb9db
0xA844D6F7020a91e1b9Ef8Eff05aABD41999FCA2F,100,134,132,0,100,0,67,1681022857,1689830107,0xa844d6f7020a91e1b9ef8eff05aabd41999fca2f,0xb49c4e680174e331cb0a7ff3ab58afc9738d5f8b,0xa844d6f7020a91e1b9ef8eff05aabd41999fca2f,0xbebed7039dbce2ef39e9048d0f92290c62b95414
0x862bB4DAe420Ad9BBf9292B8915e4bc6a4de6802,100,328,302,0,100,0,100,1664250666,1669352723,0x80c67432656d59144ceff962e8faf8926599bcf8,0x862bb4dae420ad9bbf9292b8915e4bc6a4de6802,0x862bb4dae420ad9bbf9292b8915e4bc6a4de6802,0x68f180fcce6836688e9084f035309e29bf0a2095
0xD57dcb52b93Dfd5133084779a4cBC57Cbb9b6c32,100,341,341,0,100,0,100,1663135067,1682939448,0xd57dcb52b93dfd5133084779a4cbc57cbb9b6c32,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0xd57dcb52b93dfd5133084779a4cbc57cbb9b6c32,0xcdf27f107725988f2261ce2256bdfcde8b382b10
0x8471B418c35041b7947cB22494edc842D91F84C8,100,192,133,0,100,0,100,1676058112,1688882927,0x8471b418c35041b7947cb22494edc842d91f84c8,0xc30141b657f4216252dc59af2e7cdb9d8792e1b0,0x8471b418c35041b7947cb22494edc842d91f84c8,0x1111111254760f7ab3f16433eea9304126dcd199
0xb5Ff76FB67B513Cda0e34C1Ef153D31Bff477f4B,100,137,108,0,100,0,26,1680801618,1692280611,0xb5ff76fb67b513cda0e34c1ef153d31bff477f4b,0xb49c4e680174e331cb0a7ff3ab58afc9738d5f8b,0xb5ff76fb67b513cda0e34c1ef153d31bff477f4b,0xcb0bb5d835a47584fda53f57bb4193b28d2738db
0x69Bc999a7A55849A767b46C0Eb549CB427441993,38,125,109,0,38,0,12,1681835588,1692426187,0x69bc999a7a55849a767b46c0eb549cb427441993,0xb49c4e680174e331cb0a7ff3ab58afc9738d5f8b,0x69bc999a7a55849a767b46c0eb549cb427441993,0xb49c4e680174e331cb0a7ff3ab58afc9738d5f8b
0x797351cF2d2E3D6e253070d2CCD7DD825861D493,40,104,40,0,40,0,4,1683608054,1692499523,0x797351cf2d2e3d6e253070d2ccd7dd825861d493,0xb49c4e680174e331cb0a7ff3ab58afc9738d5f8b,0x797351cf2d2e3d6e253070d2ccd7dd825861d493,0x15fa08599eb017f89c1712d0fe76138899fdb9db
0x1d7daC4443C711D142951a2C979362b6B779Cd8f,63,333,138,0,63,0,18,1663846505,1692542599,0x22913f550752f4892b97a52463538cb1981a0074,0x1d7dac4443c711d142951a2c979362b6b779cd8f,0x1d7dac4443c711d142951a2c979362b6b779cd8f,0xd12999440402d30f69e282d45081999412013844
0x3dBaFC210090e456A63d31d7fa2965753DB09bD8,41,123,102,0,41,0,26,1682024315,1692363905,0x3dbafc210090e456a63d31d7fa2965753db09bd8,0xb49c4e680174e331cb0a7ff3ab58afc9738d5f8b,0x3dbafc210090e456a63d31d7fa2965753db09bd8,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
0xD22473e490DC71eCEE9DB945fc6A9f3b7798444A,55,132,104,0,55,0,18,1681211823,1692357001,0xd22473e490dc71ecee9db945fc6a9f3b7798444a,0xb49c4e680174e331cb0a7ff3ab58afc9738d5f8b,0xd22473e490dc71ecee9db945fc6a9f3b7798444a,0x15fa08599eb017f89c1712d0fe76138899fdb9db
0x915237aB15EBea996e4DF2BcC7b560B9a7D773B2,76,332,71,0,76,0,16,1663890494,1692450249,0x915237ab15ebea996e4df2bcc7b560b9a7d773b2,0x2e42f214467f647fe687fd9a2bf3baddfa737465,0x915237ab15ebea996e4df2bcc7b560b9a7d773b2,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
0xb2ac1482FFC669cd80449Ecd0E396dbEef4B60c7,100,283,283,0,100,0,52,1668173401,1686452881,0x7e99ee7bec145cd8dd5cc218ee608373098b54c0,0xb2ac1482ffc669cd80449ecd0e396dbeef4b60c7,0xb2ac1482ffc669cd80449ecd0e396dbeef4b60c7,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
0x303715a9da8043Bfb2ec65C4D5Daf3eb63c7a9dD,19,135,0,0,19,0,0,1680927249,1692496497,0xacd03d601e5bb1b275bb94076ff46ed9d753435a,0x303715a9da8043bfb2ec65c4d5daf3eb63c7a9dd,0x303715a9da8043bfb2ec65c4d5daf3eb63c7a9dd,0x11e76ab2e2c48e4a561ac96935399c8595619fa4
